ref,sku_bw,designation,machines_db,machines_hub,present_hub,fournisseur,ref_fournisseur,prix_catalogue
BW-0012,oui,AiR System,AQTiV COMBI; AQTiV COMBI H; AQTiV ONE,AQTiV COMBI; AQTiV ONE,oui,BE WTR,BW-0012,AS*
BW-0158,oui,Flow regulator,(absent de la base),BOX 80 I; BOX 120 I,oui,,,
BW-0159,oui,PRO1 - PCB Control Board,(non renseigne),PRO1,oui,Borg&Overström,701052,72.5
BW-0160,oui,PRO1 - Cup Stand,Tap PRO1 black; Tap PRO1 steel,PRO1,oui,Borg&Overström,701409,95
BW-0161,oui,PRO1 - Connection cable,(non renseigne),PRO1,oui,Borg&Overström,607135,20
BW-0162,oui,PRO1 - Connection box side,BOX PRO1 2021,PRO1,oui,Borg&Overström,702087,39
BW-0163,oui,PRO1 - Solenoids control board -A,BOX PRO1 2021,PRO1,oui,Borg&Overström,637106,255
BW-0164,oui,PRO1 - PCB Control board - A,BOX PRO1 2021,PRO1,oui,Borg&Overström,637107,195
BW-0165,oui,Fan 30 - A,BOX BAR1 2021; BOX PRO1 2021,PRO1; BOX 30 (2021),oui,Borg&Overström,637408,43
BW-0166,oui,Solenoids 30E - A,BOX PRO1 2021,PRO1,oui,Borg&Overström,701525,270
BW-0167,oui,Controller 30 - A,BOX BAR1 2021; BOX PRO1 2021,PRO1; BOX 30 (2021),oui,Borg&Overström,637326,185
BW-0168,oui,Pump - A,BOX BAR1 2021; BOX PRO1 2021,PRO1; BOX 30 (2021),oui,Borg&Overström,637425,485
BW-0169,oui,Flow regulator 30 - A,BOX BAR1 2021; BOX PRO1 2021,PRO1; BOX 30 (2021),oui,Borg&Overström,461358,56
BW-0170,oui,Fan 30 - B,BOX 30; BOX 30E,BOX 30E; BOX 30,oui,Borg&Overström,700085,35
BW-0171,oui,Pump 30 - B,BOX 30; BOX 30E,BOX 30E; BOX 30,oui,Borg&Overström,701537,225
BW-0172,oui,8mm PRV,BOX 30; BOX 30E,BOX 30E; BOX 30,oui,Borg&Overström,701076,13
BW-0173,oui,Flow compensator 8mm,BOX 30; BOX 30E,BOX 30E; BOX 30,oui,Borg&Overström,701263,32
BW-0174,oui,PCB Control board 30 - B,BOX 30,BOX 30,oui,Borg&Overström,720148,154
BW-0175,oui,"Inlet solenoids 3/4"" BSP",BOX 30E,BOX 30E,oui,Borg&Overström,701094,35
BW-0176,oui,Solenoids 30E - B,BOX 30E,BOX 30E,oui,Borg&Overström,701515,72
BW-0177,oui,BAR1 Tap outlet,BAR1,BAR1,oui,Borg&Overström,604032,105
BW-0178,oui,BAR1 BE WTR label set,BAR1,BAR1,oui,Borg&Overström,701148,9
BW-0179,oui,PRO2 Solenoids,PRO2 black; PRO2 white,PRO2,oui,Borg&Overström,173241,22
