monday_id;produit;objet;categorie;famille_estimee;confiance;source;piece_nommee_dans_monday;decision;note_de_reparation
7312922910;BW-0271 PRO2 White;piece holding the drainer is broken and the drainer no longer holds;posée;Carrosserie / habillage;moyenne;objet / description;Face PRO2 white;Spare parts used;
8199036172;BW-0273 Base cabinet;stains on the door;posée;Carrosserie / habillage;moyenne;objet / description;door base cabinet;Spare parts used;
8912463226;BW-0270 BAR1;sticker still and sparkling water;posée;Carrosserie / habillage;moyenne;objet / description;701148;Spare parts used;
8914119792;BW-0050 AQTiV ONE;Missing grille and logo;incertain;Carrosserie / habillage;basse;objet / description;grille;Back to the supplier;
5930383392;BW-0050 AQTiV ONE;Assembly problems;incertain;Carrosserie / habillage;basse;objet / description;;TBD (to be defined);
12419824478;BW-0001 BOX 80;Fuite;réglage;Carrosserie / habillage;haute;note de réparation;;Set up modification;Le trop-plein est cassé, j'ai fait une modification pour que ça s'écoule par lavant en cas de débordement avec un petit sticker d'explication
4334120914;BW-0271 PRO2 White;DK21;posée;Carrosserie / habillage;moyenne;objet / description;;Spare parts used;
7013093591;BW-0136 BAR2 double portion control;Acheter 2 drip tray BAR2 en spare pour la France;posée;Carrosserie / habillage;basse;objet / description;;Spare parts used;
5820137528;BW-0072 BOX 30E;Frozen box;posée;Carte électronique;basse;objet / description;ID961 - thermostat control circuit;Spare parts used;
6900604336;BW-0074 BOX 30;box frozen;incertain;Carte électronique;basse;objet / description;;TBD (to be defined);
6594615228;BW-0596 BOX 20 Home;Pump HS;posée;Carte électronique;moyenne;objet / description;Level controller;Spare parts used;
7988965516;BW-0074 BOX 30;Thermostat HS;posée;Carte électronique;moyenne;objet / description;Controller ID961;Spare parts used;
8046028953;BW-0074 BOX 30;Box frozen;posée;Carte électronique;moyenne;objet / description;Controller ID961;Spare parts used;
8028904034;BW-0074 BOX 30;box hs;posée;Carte électronique;moyenne;objet / description;Controller ID 961;Spare parts used;
8187966671;BW-0074 BOX 30;Problem with the temperature indicated on the display (incorrect);posée;Carte électronique;moyenne;objet / description;BW-0167 Controller 30 - A;Spare parts used;
7530946447;BW-0074 BOX 30;BOX FROZEN;réglage;Carte électronique;basse;objet / description;;Set up modification;
7586218216;BW-0072 BOX 30E;BOX FROZEN;posée;Carte électronique;moyenne;objet / description;Eliwell ID961;Spare parts used;
7206064591;BW-0596 BOX 20 Home;Control board HS;posée;Carte électronique;moyenne;objet / description;;Spare parts used;
8317241229;BW-0001 BOX 80;water leakage;réglage;Carte électronique;moyenne;objet / description;SPARE LEVEL CONTROL PLUS AMBIENT, COLD AND FIZZ;Set up modification;
8297023064;BW-0072 BOX 30E;Box frozen;posée;Carte électronique;moyenne;objet / description;Controller 30 - A;Spare parts used;
8287973831;BW-0271 PRO2 White;The water is warm;posée;Carte électronique;moyenne;objet / description;PCB upgrade;Spare parts used;
8350926714;BW-0271 PRO2 White;The water is warm;posée;Carte électronique;moyenne;objet / description;PCB upgrade;Spare parts used;
8189910526;BW-0596 BOX 20 Home;Pump HS;posée;Carte électronique;moyenne;objet / description;SCHEDA CARBONATORE+TIME OUT - LIV-I;Spare parts used;
8516784300;BW-0072 BOX 30E;the water is warm;posée;Carte électronique;moyenne;objet / description;Controller 30 - A;Spare parts used;
8505387611;BW-0136 BAR2 double portion control;Led bouton little sparkling water hs;posée;Carte électronique;moyenne;objet / description;SPARE BLUGLASS TOWER TAP ELECTRONIC BOARD - 150576;Spare parts used;
8371148930;BW-0001 BOX 80;Pump HS;posée;Carte électronique;moyenne;objet / description;SPARE LEVEL CONTROL DC 230V;Spare parts used;
9237144416;BW-0271 PRO2 White;Without new PCB;incertain;Carte électronique;moyenne;objet / description;PCB upgrade;Other;
9077238203;BW-0001 BOX 80;the pump doesn't stop;posée;Carte électronique;moyenne;objet / description;SPARE LEVEL CONTROL DC 230V W/RETROFIT CABLE;Spare parts used;
8516850556;BW-0072 BOX 30E;the box is frozen;posée;Carte électronique;moyenne;objet / description;Controller 30 - A;Spare parts used;
8362425959;BW-0072 BOX 30E;The water is warm;posée;Carte électronique;moyenne;objet / description;Controller 30 - A;Spare parts used;
8309569585;BW-0074 BOX 30;the box is hot and doesn't cool the water;posée;Carte électronique;moyenne;objet / description;Controller 30 - A;Spare parts used;
12333350408;BW-0074 BOX 30;Carte éléctronique HS;incertain;Carte électronique;haute;note de réparation;Carte éléctronique;TBD (to be defined);Remplacement de la carte mère qui avait brulé + teste ok, remise en stock a GVA
12347810239;BW-0074 BOX 30;ne refroidit pas et se met en sécurité régulièrement selon le client;posée;Carte électronique;haute;note de réparation;panneau de controle;Spare parts used;Remplacement carte éléctronique + test ok
