n,zone,section,groupe,document,ligne_index_html,equivalent_hub,detail_equivalent,langue,url
1,Bibliothèque,Installation,Systèmes,AQTiV Combi,1543,OUI,fiche portail « AQTiV COMBI »,FR,https://bewtradmin-my.sharepoint.com/:b:/g/personal/charles_epert_bewtradmin_onmicrosoft_com/IQB_4xQsZ9uUQpEXbxgTKpDxAU3ZkKCyIo4MhXwXDKTw6io?e=iHx2iz
1,Bibliothèque,Installation,Systèmes,AQTiV Combi,1543,OUI,fiche portail « AQTiV COMBI »,EN,https://bewtradmin-my.sharepoint.com/:b:/g/personal/charles_epert_bewtradmin_onmicrosoft_com/IQC5BVn7bIvqQIMqcdEu2vFjAXRuEZj6y9Vix2MQbNbvqy0?e=j9gxij
1,Bibliothèque,Installation,Systèmes,AQTiV Combi,1543,OUI,fiche portail « AQTiV COMBI »,DE,https://bewtradmin-my.sharepoint.com/:b:/g/personal/charles_epert_bewtradmin_onmicrosoft_com/IQBDP6PA2kzaQYSUrgTS6QhNASJvOd18jrpnmrx-ddoOIIA?e=weALcp
2,Bibliothèque,Installation,Systèmes,AQTiV One,1544,OUI,fiche portail « AQTiV ONE »,FR,https://bewtradmin-my.sharepoint.com/:b:/g/personal/charles_epert_bewtradmin_onmicrosoft_com/IQDQ79AuSM0RQYrlisXPPF-0ASYlMrTxA-WHFnovG0OCVC0?e=9cmzLr
2,Bibliothèque,Installation,Systèmes,AQTiV One,1544,OUI,fiche portail « AQTiV ONE »,EN,https://bewtradmin-my.sharepoint.com/:b:/g/personal/charles_epert_bewtradmin_onmicrosoft_com/IQD-bF-0gOq2R5kOW2pVjNbHAYex8gcVfTsP-NfHJTw_iLM?e=XMI4Sr
2,Bibliothèque,Installation,Systèmes,AQTiV One,1544,OUI,fiche portail « AQTiV ONE »,DE,https://bewtradmin-my.sharepoint.com/:b:/g/personal/charles_epert_bewtradmin_onmicrosoft_com/IQABp3m1oeqETakSeTA_-x2_AVod1v4zz_vdXm18oqwj7HE?e=OzhsD4
3,Bibliothèque,Installation,Systèmes,BAR 1,1545,OUI,fiche portail « BAR 1 »,FR,https://bewtradmin-my.sharepoint.com/:b:/g/personal/charles_epert_bewtradmin_onmicrosoft_com/IQAOx9-gAxMhRovh6W-b7M7sAdWgt7o67kJzc3-Hw21FIho?e=2eQFle
3,Bibliothèque,Installation,Systèmes,BAR 1,1545,OUI,fiche portail « BAR 1 »,EN,https://bewtradmin-my.sharepoint.com/:b:/g/personal/charles_epert_bewtradmin_onmicrosoft_com/IQCt_g543FByTZNxxYfBNp7_AQA6yrV7ggPxDz7W2_m9rj0?e=ZHSvwN
3,Bibliothèque,Installation,Systèmes,BAR 1,1545,OUI,fiche portail « BAR 1 »,DE,https://bewtradmin-my.sharepoint.com/:b:/g/personal/charles_epert_bewtradmin_onmicrosoft_com/IQA11YVpnbJfQ4XGCAX2ax1gAWaSdkYbPst3jPjuIMa6gr4?e=6Tl5MM
4,Bibliothèque,Installation,Systèmes,BAR 2,1546,OUI,fiche portail « BAR 2 »,FR,https://bewtradmin-my.sharepoint.com/:b:/g/personal/charles_epert_bewtradmin_onmicrosoft_com/IQALu_CkzWR3Tpb6X-J1Y5HsAQe6PCagUhGihajwrf1ybMM?e=hdR1Su
