sku_bw,designation,machines,fournisseur,ref_fournisseur,designation_fournisseur,prix_catalogue,devise,remise
BW-0012,AiR System,AQTiV COMBI; AQTiV ONE,BE WTR,BW-0012,,,,
BW-0158,Flow regulator,BOX 80 I; BOX 120 I,,,,,,
BW-0159,PRO1 - PCB Control Board,PRO1,Borg&Overström,701052,,72.5,CHF,
BW-0160,PRO1 - Cup Stand,PRO1,Borg&Overström,701409,,95.0,CHF,
BW-0161,PRO1 - Connection cable,PRO1,Borg&Overström,607135,,20.0,CHF,
BW-0162,PRO1 - Connection box side,PRO1,Borg&Overström,702087,,39.0,CHF,
BW-0163,PRO1 - Solenoids control board -A,PRO1,Borg&Overström,637106,,255.0,CHF,
BW-0164,PRO1 - PCB Control board - A,PRO1,Borg&Overström,637107,,195.0,CHF,
BW-0165,Fan 30 - A,PRO1; BOX 30 (2021),Borg&Overström,637408,,43.0,CHF,
BW-0166,Solenoids 30E - A,PRO1,Borg&Overström,701525,,270.0,CHF,
BW-0167,Controller 30 - A,PRO1; BOX 30 (2021),Borg&Overström,637326,,185.0,CHF,
BW-0168,Pump - A,PRO1; BOX 30 (2021),Borg&Overström,637425,,485.0,CHF,
BW-0169,Flow regulator 30 - A,PRO1; BOX 30 (2021),Borg&Overström,461358,,56.0,CHF,
BW-0170,Fan 30 - B,BOX 30E; BOX 30,Borg&Overström,700085,,35.0,CHF,
BW-0171,Pump 30 - B,BOX 30E; BOX 30,Borg&Overström,701537,,225.0,CHF,
BW-0172,8mm PRV,BOX 30E; BOX 30,Borg&Overström,701076,,13.0,CHF,
BW-0173,Flow compensator 8mm,BOX 30E; BOX 30,Borg&Overström,701263,,32.0,CHF,
BW-0174,PCB Control board 30 - B,BOX 30,Borg&Overström,720148,,154.0,CHF,
BW-0175,"Inlet solenoids 3/4"" BSP",BOX 30E,Borg&Overström,701094,,35.0,CHF,
BW-0176,Solenoids 30E - B,BOX 30E,Borg&Overström,701515,,72.0,CHF,
BW-0177,BAR1 Tap outlet,BAR1,Borg&Overström,604032,,105.0,CHF,
BW-0178,BAR1 BE WTR label set,BAR1,Borg&Overström,701148,,9.0,CHF,
BW-0179,PRO2 Solenoids,PRO2,Borg&Overström,173241,,22.0,CHF,
BW-0180,PRO2 Cold thermostat,PRO2,Borg&Overström,173264,,19.0,CHF,
BW-0181,PRO2 Fan,PRO2,Borg&Overström,174351,,25.0,CHF,
